PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38551533","Deep Learning-Derived Myocardial Strain","Kwan AC, Chang EW, Jain I, Theurer J, Tang X, Francisco N, Haddad F, Liang D, Fábián A, Ferencz A, Yuan N, Merkely B, Siegel R, Cheng S, Kovács A, Tokodi M, Ouyang D.","JACC Cardiovasc Imaging. 2024 Jul;17(7):715-725. doi: 10.1016/j.jcmg.2024.01.011. Epub 2024 Mar 27.","Kwan AC","JACC Cardiovasc Imaging","2024","2024/03/29","","","10.1016/j.jcmg.2024.01.011"
"30700314","Myocardial triglycerides in cardiac amyloidosis assessed by proton cardiovascular magnetic resonance spectroscopy","Gastl M, Peereboom SM, Gotschy A, Fuetterer M, von Deuster C, Boenner F, Kelm M, Schwotzer R, Flammer AJ, Manka R, Kozerke S.","J Cardiovasc Magn Reson. 2019 Jan 31;21(1):10. doi: 10.1186/s12968-019-0519-6.","Gastl M","J Cardiovasc Magn Reson","2019","2019/02/01","PMC6354424","","10.1186/s12968-019-0519-6"
"40143828","Artificial Intelligence-Enhanced Analysis of Echocardiography-Based Radiomic Features for Myocardial Hypertrophy Detection and Etiology Differentiation","Moon I, Lee J, Lee SA, Jeong D, Jeon J, Jang Y, Jeong S, Kim J, Choi HM, Hwang IC, Hong Y, Cho GY, Yoon YE, Chang HJ.","Circ Cardiovasc Imaging. 2025 May;18(5):e017436. doi: 10.1161/CIRCIMAGING.124.017436. Epub 2025 Mar 27.","Moon I","Circ Cardiovasc Imaging","2025","2025/03/27","","","10.1161/CIRCIMAGING.124.017436"
"38489560","Association of β-Amyloid, Microglial Activation, Cortical Thickness, and Metabolism in Older Adults Without Dementia","Cai Y, Shi D, Lan G, Chen L, Jiang Y, Zhou L, Guo T; Alzheimer's Disease Neuroimaging Initiative.","Neurology. 2024 Apr 9;102(7):e209205. doi: 10.1212/WNL.0000000000209205. Epub 2024 Mar 15.","Cai Y","Neurology","2024","2024/03/15","","","10.1212/WNL.0000000000209205"
"39985507","Development of Imaging Endpoints for Clinical Trials in AL and ATTR Amyloidosis: Proceedings of the Amyloidosis Forum","Dorbala S, Adigun R, Alexander KM, Brambatti M, Cuddy SAM, Dispenzieri A, Dunnmon P, Emdin M, Abou Ezzeddine OF, Falk RH, Fontana M, Grodin JL, Guthrie S, Jerosch-Herold M, Hofling AA, Hsu K, Lin G, Masri A, Maurer MS, Mittmann C, Prasad K, Quarta CC, Race JM, Rajendran JG, Ruberg FL, Sachdev V, Sanchorawala V, Signorovitch J, Sirac C, Soman P, Sorensen J, Sperry BW, Stephens AW, Stockbridge NL, Vest J, Wall JS, Wechalekar A, Welsh C, Lousada I.","JACC Cardiovasc Imaging. 2025 May;18(5):602-617. doi: 10.1016/j.jcmg.2024.11.003. Epub 2025 Feb 21.","Dorbala S","JACC Cardiovasc Imaging","2025","2025/02/22","PMC12161488","NIHMS2050613","10.1016/j.jcmg.2024.11.003"
"26173894","Accurate analysis and visualization of cardiac (11)C-PIB uptake in amyloidosis with semiautomatic software","Kero T, Lindsjö L, Sörensen J, Lubberink M.","J Nucl Cardiol. 2016 Aug;23(4):741-50. doi: 10.1007/s12350-015-0149-9. Epub 2015 Jul 15.","Kero T","J Nucl Cardiol","2016","2015/07/16","","","10.1007/s12350-015-0149-9"
"34550600","The molecular structure and role of LECT2 or CHM-II in arthritis, cancer, and other diseases","Zhu S, Bennett S, Li Y, Liu M, Xu J.","J Cell Physiol. 2022 Jan;237(1):480-488. doi: 10.1002/jcp.30593. Epub 2021 Sep 22.","Zhu S","J Cell Physiol","2022","2021/09/22","","","10.1002/jcp.30593"
"41350392","Metabolomic and immunophenotypic signatures in cerebral amyloid angiopathy: a pilot study","Tsaktanis T, Gessner A, Pfeuffer S, Farrenkopf D, Naumann UJ, Fröhlich K, Sembill JA, Fromm MF, Schwab S, Rothhammer V, Kuramatsu JB, Mrochen A.","Sci Rep. 2025 Dec 5;15(1):43262. doi: 10.1038/s41598-025-31107-w.","Tsaktanis T","Sci Rep","2025","2025/12/05","PMC12685982","","10.1038/s41598-025-31107-w"
"40456762","An unbiased tissue transcriptome analysis identifies potential markers for skin phenotypes and therapeutic responses in atopic dermatitis","Fukushima-Nomura A, Kawasaki H, Yashiro K, Obata S, Tanese K, Ebihara T, Saeki H, Etoh T, Hasegawa T, Yazaki J, Seita J, Ohara O, Sekita A, Miyai T, Ashizaki K, Koseki H, Sakurada K, Kawakami E, Amagai M.","Nat Commun. 2025 Jun 2;16(1):4981. doi: 10.1038/s41467-025-59340-x.","Fukushima-Nomura A","Nat Commun","2025","2025/06/02","PMC12130345","","10.1038/s41467-025-59340-x"
"40679604","Artificial intelligence-enabled electrocardiography and echocardiography to track preclinical progression of transthyretin amyloid cardiomyopathy","Oikonomou EK, Sangha V, Shankar SV, Coppi A, Krumholz HM, Nasir K, Miller EJ, Gallegos Kattan C, Al-Mallah MH, Al-Kindi S, Khera R.","Eur Heart J. 2025 Oct 1;46(37):3651-3662. doi: 10.1093/eurheartj/ehaf450.","Oikonomou EK","Eur Heart J","2025","2025/07/18","PMC12488324","","10.1093/eurheartj/ehaf450"
"33245757","New expectations for diastolic function assessment in transthoracic echocardiography based on a semi-automated computing of strain-volume loops","Hubert A, Le Rolle V, Galli E, Bidaud A, Hernandez A, Donal E.","Eur Heart J Cardiovasc Imaging. 2020 Dec 1;21(12):1366-1371. doi: 10.1093/ehjci/jeaa123.","Hubert A","Eur Heart J Cardiovasc Imaging","2020","2020/11/27","","","10.1093/ehjci/jeaa123"
"37943236","Echocardiography-Based Deep Learning Model to Differentiate Constrictive Pericarditis and Restrictive Cardiomyopathy","Chao CJ, Jeong J, Arsanjani R, Kim K, Tsai YL, Yu WC, Farina JM, Mahmoud AK, Ayoub C, Grogan M, Kane GC, Banerjee I, Oh JK.","JACC Cardiovasc Imaging. 2024 Apr;17(4):349-360. doi: 10.1016/j.jcmg.2023.09.011. Epub 2023 Nov 8.","Chao CJ","JACC Cardiovasc Imaging","2024","2023/11/09","","","10.1016/j.jcmg.2023.09.011"
"33918041","Current Management and Therapeutic Strategies for Cerebral Amyloid Angiopathy","Inoue Y, Ando Y, Misumi Y, Ueda M.","Int J Mol Sci. 2021 Apr 8;22(8):3869. doi: 10.3390/ijms22083869.","Inoue Y","Int J Mol Sci","2021","2021/04/30","PMC8068954","","10.3390/ijms22083869"
"41168058","Multimodality imaging for cardiac amyloidosis: clinical applications and future directions","Sinigiani G, De Michieli L, Nistri S, Cecchin D, Mele D, Cipriani A.","Eur J Intern Med. 2026 Feb;144:106562. doi: 10.1016/j.ejim.2025.106562. Epub 2025 Oct 29.","Sinigiani G","Eur J Intern Med","2026","2025/10/30","","","10.1016/j.ejim.2025.106562"
"28430919","Non-coding RNAs in cardiovascular diseases: diagnostic and therapeutic perspectives","Poller W, Dimmeler S, Heymans S, Zeller T, Haas J, Karakas M, Leistner DM, Jakob P, Nakagawa S, Blankenberg S, Engelhardt S, Thum T, Weber C, Meder B, Hajjar R, Landmesser U.","Eur Heart J. 2018 Aug 1;39(29):2704-2716. doi: 10.1093/eurheartj/ehx165.","Poller W","Eur Heart J","2018","2017/04/22","PMC6454570","","10.1093/eurheartj/ehx165"
"35811524","Polygenic Scores of Alzheimer's Disease Risk Genes Add Only Modestly to APOE in Explaining Variation in Amyloid PET Burden","Ramanan VK, Heckman MG, Przybelski SA, Lesnick TG, Lowe VJ, Graff-Radford J, Mielke M, Jack CR, Knopman DS, Petersen RC, Ross OA, Vemuri P; Alzheimer’s Disease Neuroimaging Initiative.","J Alzheimers Dis. 2022;88(4):1615-1625. doi: 10.3233/JAD-220164.","Ramanan VK","J Alzheimers Dis","2022","2022/07/11","PMC9534315","NIHMS1838283","10.3233/JAD-220164"
"28524784","How do we improve treatments for patients with amyloidosis using proteomics?","Lavatelli F, Merlini G.","Expert Rev Proteomics. 2017 Jul;14(7):561-563. doi: 10.1080/14789450.2017.1331737. Epub 2017 May 23.","Lavatelli F","Expert Rev Proteomics","2017","2017/05/20","","","10.1080/14789450.2017.1331737"
"39694574","Detection of cardiac amyloidosis using machine learning on routine echocardiographic measurements","Chang RS, Chiu IM, Tacon P, Abiragi M, Cao L, Hong G, Le J, Zou J, Daluwatte C, Ricchiuto P, Ouyang D.","Open Heart. 2024 Dec 18;11(2):e002884. doi: 10.1136/openhrt-2024-002884.","Chang RS","Open Heart","2024","2024/12/18","PMC11667434","","10.1136/openhrt-2024-002884"
"37442358","Insight into different phenotypic presentations of heart failure with preserved ejection fraction","Bashir Z, Chen EW, Tori K, Ghosalkar D, Aurigemma GP, Dickey JB, Haines P.","Prog Cardiovasc Dis. 2023 Jul-Aug;79:80-88. doi: 10.1016/j.pcad.2023.07.003. Epub 2023 Jul 11.","Bashir Z","Prog Cardiovasc Dis","2023","2023/07/13","","","10.1016/j.pcad.2023.07.003"
"40542379","Identification of diagnostic DNA methylation markers in the blood of Japanese Alzheimer's disease patients using methylation capture sequencing","Mitsumori R, Sawamura K, Yamakoshi K, Nakamura A, Arahata Y, Niida S, Shigemizu D, Ozaki K, Shimoda N.","Clin Epigenetics. 2025 Jun 20;17(1):107. doi: 10.1186/s13148-025-01905-0.","Mitsumori R","Clin Epigenetics","2025","2025/06/20","PMC12181843","","10.1186/s13148-025-01905-0"
"35855631","Alzheimer's disease: a scoping review of biomarker research and development for effective disease diagnosis","Faldu KG, Shah JS.","Expert Rev Mol Diagn. 2022 Jul;22(7):681-703. doi: 10.1080/14737159.2022.2104639. Epub 2022 Jul 28.","Faldu KG","Expert Rev Mol Diagn","2022","2022/07/20","","","10.1080/14737159.2022.2104639"
"33751222","A systemic apolipoprotein A-IV-associated amyloidosis confirmed by proteome analysis","Murakami T, Takasawa A, Moriki A, Igaki Y, Ikeda H, Murase K, Takada K, Magara K, Aoyama T, Ono Y, Kyuno D, Takasawa K, Murata M, Osanai M.","Virchows Arch. 2021 Nov;479(5):1041-1046. doi: 10.1007/s00428-021-03073-x. Epub 2021 Mar 10.","Murakami T","Virchows Arch","2021","2021/03/22","","","10.1007/s00428-021-03073-x"
"37793568","Serial Changes in Cardiopulmonary Exercise Testing Parameters in Untreated Patients With Transthyretin Cardiac Amyloidosis","Argirò A, Silverii MV, Burgisser C, Fattirolli F, Baldasseroni S, di Mario C, Zampieri M, Biagioni G, Mazzoni C, Chiti C, Allinovi M, Ungar A, Perfetto F, Cappelli F.","Can J Cardiol. 2024 Mar;40(3):364-369. doi: 10.1016/j.cjca.2023.09.028. Epub 2023 Oct 2.","Argirò A","Can J Cardiol","2024","2023/10/04","","","10.1016/j.cjca.2023.09.028"
"27277827","Longitudinal strain of left ventricular basal segments and E/e' ratio differentiate primary cardiac amyloidosis at presentation from hypertensive hypertrophy: an automated function imaging study","Schiano-Lomoriello V, Galderisi M, Mele D, Esposito R, Cerciello G, Buonauro A, Della Pepa R, Picardi M, Catalano L, Trimarco B, Pane F.","Echocardiography. 2016 Sep;33(9):1335-43. doi: 10.1111/echo.13278. Epub 2016 Jun 9.","Schiano-Lomoriello V","Echocardiography","2016","2016/06/10","","","10.1111/echo.13278"
"30649240","Mechanisms of heart failure in transthyretin vs. light chain amyloidosis","Binder C, Duca F, Stelzer PD, Nitsche C, Rettl R, Aschauer S, Kammerlander AA, Binder T, Agis H, Kain R, Hengstenberg C, Mascherbauer J, Bonderman D.","Eur Heart J Cardiovasc Imaging. 2019 May 1;20(5):512-524. doi: 10.1093/ehjci/jey225.","Binder C","Eur Heart J Cardiovasc Imaging","2019","2019/01/17","","","10.1093/ehjci/jey225"
"28477167","Cardiovascular magnetic resonance myocardial T1 mapping to detect and quantify cardiac involvement in familial amyloid polyneuropathy","Oda S, Utsunomiya D, Morita K, Nakaura T, Yuki H, Kidoh M, Hirata K, Taguchi N, Tsuda N, Shiraishi S, Namimoto T, Hirakawa K, Takashio S, Izumiya Y, Yamamuro M, Hokimoto S, Tsujita K, Ueda M, Yamashita T, Ando Y, Yamashita Y.","Eur Radiol. 2017 Nov;27(11):4631-4638. doi: 10.1007/s00330-017-4845-5. Epub 2017 May 5.","Oda S","Eur Radiol","2017","2017/05/07","","","10.1007/s00330-017-4845-5"
"29092115","Cardiac Amyloidosis Associated with Enlargement and Functional Impairment of the Mitral Annulus: Insights from the Three-Dimensional Speckle Tracking Echocardiographic MAGYAR-Path Study","Nemes A, Földeák D, Kormányos Á, Domsik P, Kalapos A, Borbényi Z, Forster T.","J Heart Valve Dis. 2017 May;26(3):304-308.","Nemes A","J Heart Valve Dis","2017","2017/11/02","","",""
"41272030","Left ventricular myocardial work combined with stress echocardiography assessment of cardiac function in patients with Fabry disease","Zhou H, Guo Z, Wang J, Ai W, Miao Y, Han G, Lu J, Zhang S, Yin H.","Sci Rep. 2025 Nov 21;15(1):41356. doi: 10.1038/s41598-025-25382-w.","Zhou H","Sci Rep","2025","2025/11/21","PMC12638808","","10.1038/s41598-025-25382-w"
"27103598","Acute cardiac failure secondary to senile systemic amyloidosis","Bodard Q, Roca F, Dilly B, Laurent D, Chassagne P.","Age Ageing. 2016 Nov;45(6):908-909. doi: 10.1093/ageing/afw073. Epub 2016 Apr 21.","Bodard Q","Age Ageing","2016","2016/04/23","","","10.1093/ageing/afw073"
"37279785","Genetic risk scores enhance the diagnostic value of plasma biomarkers of brain amyloidosis","Ramanan VK, Gebre RK, Graff-Radford J, Hofrenning E, Algeciras-Schimnich A, Figdore DJ, Lowe VJ, Mielke MM, Knopman DS, Ross OA, Jack CR Jr, Petersen RC, Vemuri P.","Brain. 2023 Nov 2;146(11):4508-4519. doi: 10.1093/brain/awad196.","Ramanan VK","Brain","2023","2023/06/06","PMC10629762","","10.1093/brain/awad196"
"28971756","Hyphenated Mass Spectrometry Techniques in the Diagnosis of Amyloidosis","Spodzieja M, Rodziewicz-Motowidło S, Szymanska A.","Curr Med Chem. 2019;26(1):104-120. doi: 10.2174/0929867324666171003113019.","Spodzieja M","Curr Med Chem","2019","2017/10/04","","","10.2174/0929867324666171003113019"
"26928090","Increased susceptibility to metabolic dysregulation in a mouse model of Alzheimer's disease is associated with impaired hypothalamic insulin signaling and elevated BCAA levels","Ruiz HH, Chi T, Shin AC, Lindtner C, Hsieh W, Ehrlich M, Gandy S, Buettner C.","Alzheimers Dement. 2016 Aug;12(8):851-61. doi: 10.1016/j.jalz.2016.01.008. Epub 2016 Feb 28.","Ruiz HH","Alzheimers Dement","2016","2016/03/02","PMC5358328","NIHMS818769","10.1016/j.jalz.2016.01.008"
"36763207","Deep learn-based computer-assisted transthoracic echocardiography: approach to the diagnosis of cardiac amyloidosis","Zhang X, Liang T, Su C, Qin S, Li J, Zeng D, Cai Y, Huang T, Wu J.","Int J Cardiovasc Imaging. 2023 May;39(5):955-965. doi: 10.1007/s10554-023-02806-0. Epub 2023 Feb 10.","Zhang X","Int J Cardiovasc Imaging","2023","2023/02/10","PMC10159959","","10.1007/s10554-023-02806-0"
"33840526","The Clinical Impact of Proteomics in Amyloid Typing","Hill MM, Dasari S, Mollee P, Merlini G, Costello CE, Hazenberg BPC, Grogan M, Dispenzieri A, Gertz MA, Kourelis T, McPhail ED.","Mayo Clin Proc. 2021 May;96(5):1122-1127. doi: 10.1016/j.mayocp.2020.12.002. Epub 2021 Apr 9.","Hill MM","Mayo Clin Proc","2021","2021/04/12","PMC8934443","NIHMS1781238","10.1016/j.mayocp.2020.12.002"
"40401634","When is imaging needed to assess the response to treatment in cardiac amyloidosis","Sengupta SP, Kini P.","Curr Opin Cardiol. 2025 Sep 1;40(5):335-342. doi: 10.1097/HCO.0000000000001236. Epub 2025 May 21.","Sengupta SP","Curr Opin Cardiol","2025","2025/05/22","","","10.1097/HCO.0000000000001236"
"39562606","A machine learning prediction model for Cardiac Amyloidosis using routine blood tests in patients with left ventricular hypertrophy","Pan Y, Fan Q, Liang Y, Liu Y, You H, Liang C.","Sci Rep. 2024 Nov 19;14(1):28644. doi: 10.1038/s41598-024-77466-8.","Pan Y","Sci Rep","2024","2024/11/20","PMC11576976","","10.1038/s41598-024-77466-8"
"39781722","Molecular and Functional Significance of Growth Differentiation Factor-15: A Review on Cardiovascular-Kidney-Metabolic Biomarker","Tiwari K, Saravanan A, Anil A, Tiwari VK, Shamim MA, Singh S, Dwivedi P, Deora S, Varthya SB.","Curr Cardiol Rev. 2025;21(3):e1573403X332671. doi: 10.2174/011573403X332671241121063641.","Tiwari K","Curr Cardiol Rev","2025","2025/01/09","PMC12172221","","10.2174/011573403X332671241121063641"
"31586276","Cerebral Amyloid Angiopathy, Alzheimer's Disease and MicroRNA: miRNA as Diagnostic Biomarkers and Potential Therapeutic Targets","Weldon Furr J, Morales-Scheihing D, Manwani B, Lee J, McCullough LD.","Neuromolecular Med. 2019 Dec;21(4):369-390. doi: 10.1007/s12017-019-08568-0. Epub 2019 Oct 4.","Weldon Furr J","Neuromolecular Med","2019","2019/10/06","PMC7032931","NIHMS1541032","10.1007/s12017-019-08568-0"
"34319177","Metabolomics analysis for diagnosis and biomarker discovery of transthyretin amyloidosis","Olsson M, Hellman U, Wixner J, Anan I.","Amyloid. 2021 Dec;28(4):234-242. doi: 10.1080/13506129.2021.1958775. Epub 2021 Jul 28.","Olsson M","Amyloid","2021","2021/07/28","","","10.1080/13506129.2021.1958775"
"38753290","The Role of Multimodality Imaging in Cardiomyopathy","Pan JA, Patel AR.","Curr Cardiol Rep. 2024 Jul;26(7):689-703. doi: 10.1007/s11886-024-02068-9. Epub 2024 May 16.","Pan JA","Curr Cardiol Rep","2024","2024/05/16","PMC11236518","NIHMS2006478","10.1007/s11886-024-02068-9"
"39523983","Comprehensive Proteomics Profiling Identifies Circulating Biomarkers to Distinguish Hypertrophic Cardiomyopathy From Other Cardiomyopathies With Left Ventricular Hypertrophy","Akita K, Maurer MS, Tower-Rader A, Fifer MA, Shimada YJ.","Circ Heart Fail. 2025 Jan;18(1):e012434. doi: 10.1161/CIRCHEARTFAILURE.124.012434. Epub 2024 Nov 11.","Akita K","Circ Heart Fail","2025","2024/11/11","PMC11753946","NIHMS2032503","10.1161/CIRCHEARTFAILURE.124.012434"
"33679725","Serum Amyloid A in Inflammatory Rheumatic Diseases: A Compendious Review of a Renowned Biomarker","Sorić Hosman I, Kos I, Lamot L.","Front Immunol. 2021 Feb 19;11:631299. doi: 10.3389/fimmu.2020.631299. eCollection 2020.","Sorić Hosman I","Front Immunol","2021","2021/03/08","PMC7933664","","10.3389/fimmu.2020.631299"
"30354459","Fully Automated Echocardiogram Interpretation in Clinical Practice","Zhang J, Gajjala S, Agrawal P, Tison GH, Hallock LA, Beussink-Nelson L, Lassen MH, Fan E, Aras MA, Jordan C, Fleischmann KE, Melisko M, Qasim A, Shah SJ, Bajcsy R, Deo RC.","Circulation. 2018 Oct 16;138(16):1623-1635. doi: 10.1161/CIRCULATIONAHA.118.034338.","Zhang J","Circulation","2018","2018/10/26","PMC6200386","","10.1161/CIRCULATIONAHA.118.034338"
"32728989","Left atrial strain imaging differentiates cardiac amyloidosis and hypertensive heart disease","Rausch K, Scalia GM, Sato K, Edwards N, Lam AK, Platts DG, Chan J.","Int J Cardiovasc Imaging. 2021 Jan;37(1):81-90. doi: 10.1007/s10554-020-01948-9. Epub 2020 Jul 29.","Rausch K","Int J Cardiovasc Imaging","2021","2020/07/31","","","10.1007/s10554-020-01948-9"
"33757599","Coping with brain amyloid: genetic heterogeneity and cognitive resilience to Alzheimer's pathophysiology","Ramanan VK, Lesnick TG, Przybelski SA, Heckman MG, Knopman DS, Graff-Radford J, Lowe VJ, Machulda MM, Mielke MM, Jack CR Jr, Petersen RC, Ross OA, Vemuri P; Alzheimer’s Disease Neuroimaging Initiative (ADNI).","Acta Neuropathol Commun. 2021 Mar 23;9(1):48. doi: 10.1186/s40478-021-01154-1.","Ramanan VK","Acta Neuropathol Commun","2021","2021/03/24","PMC7986461","","10.1186/s40478-021-01154-1"
"35916132","Multinational Federated Learning Approach to Train ECG and Echocardiogram Models for Hypertrophic Cardiomyopathy Detection","Goto S, Solanki D, John JE, Yagi R, Homilius M, Ichihara G, Katsumata Y, Gaggin HK, Itabashi Y, MacRae CA, Deo RC.","Circulation. 2022 Sep 6;146(10):755-769. doi: 10.1161/CIRCULATIONAHA.121.058696. Epub 2022 Aug 2.","Goto S","Circulation","2022","2022/08/02","PMC9439630","","10.1161/CIRCULATIONAHA.121.058696"
"39438280","Predictive Model Based on Texture Analysis of Noncontrast Cardiac Magnetic Resonance Images for the Prognostic Evaluation of Cardiac Amyloidosis","She J, Guo J, Sun Y, Chen Y, Zeng M, Ge M, Jin H.","J Comput Assist Tomogr. 2025 Mar-Apr 01;49(2):271-280. doi: 10.1097/RCT.0000000000001671. Epub 2024 Oct 10.","She J","J Comput Assist Tomogr","2025","2024/10/22","","","10.1097/RCT.0000000000001671"
"28438056","Mass spectrometry analysis for amyloidosis typing - is the future bright for its clinical implementation?","Hill MM, Mollee PN.","Expert Rev Proteomics. 2017 Jul;14(7):565-566. doi: 10.1080/14789450.2017.1322905. Epub 2017 May 3.","Hill MM","Expert Rev Proteomics","2017","2017/04/26","","","10.1080/14789450.2017.1322905"
"28637305","Left atrial structure and function in cardiac amyloidosis","Nochioka K, Quarta CC, Claggett B, Roca GQ, Rapezzi C, Falk RH, Solomon SD.","Eur Heart J Cardiovasc Imaging. 2017 Oct 1;18(10):1128-1137. doi: 10.1093/ehjci/jex097.","Nochioka K","Eur Heart J Cardiovasc Imaging","2017","2017/06/23","","","10.1093/ehjci/jex097"
"37314431","Early β-amyloid accumulation in the brain is associated with peripheral T cell alterations","Gericke C, Kirabali T, Flury R, Mallone A, Rickenbach C, Kulic L, Tosevski V, Hock C, Nitsch RM, Treyer V, Ferretti MT, Gietl A.","Alzheimers Dement. 2023 Dec;19(12):5642-5662. doi: 10.1002/alz.13136. Epub 2023 Jun 14.","Gericke C","Alzheimers Dement","2023","2023/06/14","","","10.1002/alz.13136"
"41482060","Integrating AI-ECG and point-of-care cardiac ultrasound for screening structural heart disease: A proof-of-concept study","Alexandrino FB, Schlesinger R, Bird J, Lee E, Deshmukh AJ, Nkomo VT, Oh JK, Noseworthy PA, Pellikka PA, Attia Z, Lopez-Jimenez F, Friedman PA, Kane GC, Pislaru SV, Tsaban G.","Am Heart J. 2026 Apr;294:107337. doi: 10.1016/j.ahj.2025.107337. Epub 2025 Dec 31.","Alexandrino FB","Am Heart J","2026","2026/01/02","","","10.1016/j.ahj.2025.107337"
"41231126","A Review of Multimodality Imaging in Hypertrophic Cardiomyopathy: Diagnosis, Risk Stratification, and Therapeutic Guidance","Gandhi R, Ooi EL, Mugwagwa A, Botrous C, Raman B.","Radiol Cardiothorac Imaging. 2025 Dec;7(6):e240555. doi: 10.1148/ryct.240555.","Gandhi R","Radiol Cardiothorac Imaging","2025","2025/11/13","PMC12728516","","10.1148/ryct.240555"
"35831715","Introducing a gatekeeping system for amyloid status assessment in mild cognitive impairment","Doering E, Hoenig MC, Bischof GN, Bohn KP, Ellingsen LM, van Eimeren T, Drzezga A; Alzheimer’s Disease Neuroimaging Initiative.","Eur J Nucl Med Mol Imaging. 2022 Nov;49(13):4478-4489. doi: 10.1007/s00259-022-05879-6. Epub 2022 Jul 14.","Doering E","Eur J Nucl Med Mol Imaging","2022","2022/07/13","PMC9605923","","10.1007/s00259-022-05879-6"
